_id,id,idanalista,atribuicao,status,validacao,status_val,obs,area_km2,data_inicial,data_entrega,idprojeto,geom,st_astext,data_inicio
662d7ca95db57697a6f67ab3,1423,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7436301.9862726405,339488.646550982 7436301.9862726405,339488.646550982 7435901.9862726405,338788.646550982 7435901.9862726405,338788.646550982 7436301.9862726405)))",
662d7ca95db57697a6f67ab8,1428,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((340188.646550982 7444701.9862726405,340888.646550982 7444701.9862726405,340888.646550982 7444301.9862726405,340188.646550982 7444301.9862726405,340188.646550982 7444701.9862726405)))",
662d7ca95db57697a6f67abb,1431,3,analista 2,finalizado,NULL,NULL,NULL,0.28,20/07/2023,25/07/2023,2,,"MULTIPOLYGON(((340188.646550982 7445901.9862726405,340888.646550982 7445901.9862726405,340888.646550982 7445501.9862726405,340188.646550982 7445501.9862726405,340188.646550982 7445901.9862726405)))",
662d7ca95db57697a6f67a8d,1385,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((339488.646550982 7439901.9862726405,340188.646550982 7439901.9862726405,340188.646550982 7439501.9862726405,339488.646550982 7439501.9862726405,339488.646550982 7439901.9862726405)))",
662d7ca95db57697a6f67a8f,1387,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((339488.646550982 7440701.9862726405,340188.646550982 7440701.9862726405,340188.646550982 7440301.9862726405,339488.646550982 7440301.9862726405,339488.646550982 7440701.9862726405)))",
662d7ca95db57697a6f67a93,1391,3,analista 2,finalizado,NULL,NULL,NULL,0.28,31/07/2023,05/08/2023,2,,"MULTIPOLYGON(((339488.646550982 7449501.9862726405,340188.646550982 7449501.9862726405,340188.646550982 7449101.9862726405,339488.646550982 7449101.9862726405,339488.646550982 7449501.9862726405)))",
662d7ca95db57697a6f67a99,1397,3,analista 2,finalizado,NULL,NULL,NULL,0.28,22/01/2023,27/01/2023,2,,"MULTIPOLYGON(((339488.646550982 7448701.9862726405,340188.646550982 7448701.9862726405,340188.646550982 7448301.9862726405,339488.646550982 7448301.9862726405,339488.646550982 7448701.9862726405)))",
662d7ca95db57697a6f67a9b,1399,3,analista 2,finalizado,NULL,NULL,NULL,0.28,03/04/2024,08/04/2024,2,,"MULTIPOLYGON(((339488.646550982 7446301.9862726405,340188.646550982 7446301.9862726405,340188.646550982 7445901.9862726405,339488.646550982 7445901.9862726405,339488.646550982 7446301.9862726405)))",
662d7ca95db57697a6f67aa0,1404,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7432301.9862726405,339488.646550982 7432301.9862726405,339488.646550982 7431901.9862726405,338788.646550982 7431901.9862726405,338788.646550982 7432301.9862726405)))",
662d7ca95db57697a6f67aa2,1406,1,NULL,NULL,NULL,NULL,NULL,0.28,,,2,,"MULTIPOLYGON(((338788.646550982 7433101.9862726405,339488.646550982 7433101.9862726405,339488.646550982 7432701.9862726405,338788.646550982 7432701.9862726405,338788.646550982 7433101.9862726405)))",
